CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
,,51.2005,"Natural Products Chemistry and Pharmacognosy (MS, PhD) (NEW)"
,,51.2006,"Clinical and Industrial Drug Development (MS, PhD) (NEW)"
,,51.2007,"Pharmacoeconomics/Pharmaceutical Economics (MS, PhD) (NEW)"
,,51.2008,"Clinical, Hospital, and Managed Care Pharmacy (MS, PhD) (NEW)"
,,51.2009,"Industrial and Physical Pharmacy and Cosmetic Sciences (MS, PhD) (NEW)"
51.2099,"Pharmacy, Other",51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other"
51.21,"Podiatry (D.P.M., D.P., Pod.D.)",51.21,Podiatric Medicine/Podiatry (DPM)
51.2101,"Podiatry (D.P.M., D.P., Pod.D.)",51.2101,Podiatric Medicine/Podiatry (DPM)
51.22,Public Health,51.22,Public Health
51.2201,"Public Health, General",51.2201,"Public Health, General (MPH, DPH)"
51.2202,Environmental Health,51.2202,Environmental Health
51.2203,Epidemiology,26.1309,Epidemiology
51.2204,Health and Medical Biostatistics,26.1102,Biostatistics
51.2205,Health Physics/Radiologic Health,51.2205,Health/ Medical Physics
51.2206,Occupational Health and Industrial Hygiene,51.2206,Occupational Health and Industrial Hygiene
51.2207,Public Health Education and Promotion,51.2207,Public Health Education and Promotion
,,51.2208,Community Health and Preventive Medicine(NEW)
,,51.2209,Maternal and Child Health (NEW)
,,51.2210,International Public Health/International Health(NEW)
,,51.2211,Health Services Administration (NEW)
51.2299,"Public Health, Other",51.2299,"Public Health, Other"
51.23,Rehabilitation/Therapeutic Services,51.23,Rehabilitation and Therapeutic Professions
51.2301,Art Therapy,51.2301,Art Therapy/Therapist
51.2302,Dance Therapy,51.2302,Dance Therapy/Therapist
51.2303,Hypnotherapy,51.3603,Hypnotherapy/Hypnotherapist
51.2304,Movement Therapy,51.3601,Movement Therapy and Movement Education
51.2305,Music Therapy,51.2305,Music Therapy/Therapist
51.2306,Occupational Therapy,51.2306,Occupational Therapy/Therapist
51.2307,Orthotics/Prosthetics,51.2307,Orthotist/Prosthetist
51.2308,Physical Therapy,51.2308,Physical Therapy/Therapist
51.2309,Recreational Therapy,51.2309,Therapeutic Recreation/Recreational Therapy
51.2310,Vocational Rehabilitation Counseling,51.2310,Vocational Rehabilitation Counseling/Counselor
,,51.2311,Kinesiotherapy/Kinesiotherapist (NEW)
,,51.2312,Assistive/Augmentative Technology and Rehabilitation Engineering (NEW)
51.2399,"Rehabilitation/Therapeutic Services, Other",51.2399,"Rehabilitation and Therapeutic Professions, Other"
51.24,Veterinary Medicine (D.V.M.),51.24,Veterinary Medicine (DVM)
51.2401,Veterinary Medicine (D.V.M.),51.2401,Veterinary Medicine (DVM)
51.25,"Veterinary Clinical Sciences (M.S., Ph.D.)",51.25,"Veterinary Biomedical and Clinical Sciences (Cert, MS. PhD"
51.2501,"Veterinary Clinical Sciences (M.S., Ph.D.)",51.2501,"Veterinary Sciences/Veterinary Clinical Sciences, General (Cert, MS, PhD)"
,,51.2502,"Veterinary Anatomy (Cert, MS, PhD) (NEW)"
,,51.2503,"Veterinary Physiology (Cert, MS, PhD) (NEW)"
,,51.2504,"Veterinary Microbiology and Immunobiology (Cert, MS, PhD) (NEW)"
,,51.2505,"Veterinary Pathology and Pathobiology (Cert, MS, PhD) (NEW)"
,,51.2506,"Veterinary Toxicology and Pharmacology (Cert, MS, PhD) (NEW)"
,,51.2507,"Large Animal/Food Animal and Equine Surgery and Medicine (Cert, MS, PhD) (NEW)"
,,51.2508,"Small/Companion Animal Surgery and Medicine (Cert, MS, PhD) (NEW)"
,,51.2509,"Comparative and Laboratory Animal Medicine (Cert, MS, PhD) (NEW)"
,,51.2510,"Veterinary Preventive Medicine Epidemiology and Public Health (Cert, MS, PhD) (NEW)"
,,51.2511,"Veterinary Infectious Diseases (Cert, MS, PhD) (NEW)"
,,51.2599,"Veterinary Biomedical and Clinical Sciences, Other (Cert, MS. PhD) (New)"
51.26,Miscellaneous Health Aides,51.26,Health Aides/Attendants/Orderlies
51.2601,Health Aide,51.2601,Health Aide
,,51.2603,Medication Aide (NEW)
,,51.2699,"Health Aides/Attendants/Orderlies, Other(NEW)"
51.27,Miscellaneous Health Professions,51.27,Medical Illustration and Informatics
51.2701,Acupuncture and Oriental Medicine,51.3301,Acupuncture. (NEW)
,,51.3302,Traditional Chinese/Asian Medicine and Chinese Herbology (NEW)
51.2702,Medical Dietitian,51.3101,Dietetics/ Dietitian (RD)
51.2703,Medical Illustrating,51.2703,Medical Illustration/Medical Illustrator
51.2704,Naturopathic Medicine,51.3303,Naturopathic Medicine/Naturopathy (ND)
51.2705,Psychoanalysis,51.1507,Psychoanalysis and Psychotherapy
,,51.2706,Medical Informatics (NEW)
,,51.2799,"Medical Illustration and Informatics, Other(NEW)"
,,51.31,Dietetics and Clinical Nutrition Services (NEW)
,,51.3102,Clinical Nutrition/Nutritionist (NEW)
,,51.3103,Dietetic Technician (DTR) (NEW)
,,51.3199,"Dietetics and Clinical Nutrition Services, Other(NEW)"
,,51.32,Bioethics/Medical Ethics (NEW)
,,51.3201,Bioethics/Medical Ethics (NEW)
,,51.33,Alternative and Complementary Medicine and Medical Systems (NEW)
,,51.3305,Homeopathic Medicine/Homeopathy (NEW)
,,51.3306,Ayurvedic Medicine/Ayurveda (NEW)
,,51.3399,"Alternative and Complementary Medicine and Medical Systems, Other (NEW)"
,,51.34,Alternative and Complementary Medical Support Services (NEW)
,,51.3401,"Direct Entry Midwifery (LM, CPM) (NEW)"
,,51.3499,"Alternative and Complementary Medical Support Services, Other (NEW)"
,,51.35,Somatic Bodywork and Related Theraputic Services (NEW)
,,51.3502,Asian Bodywork Therapy (NEW)
,,51.3503,Somatic Bodywork (NEW)
,,51.3599,"Somatic Bodywork and Related Theraputic Services, Other (NEW)"
,,51.36,Movement and Mind-Body Therapies (NEW)
,,51.3602,Yoga Teacher Training/Yoga Therapy (New
,,51.3699,"Movement and Mind-Body Therapies and Education, Other (NEW)"
,,51.37,Energy and Biologically Based Therapies(NEW)
,,51.3701,Aromatherapy (NEW)
,,51.3702,Herbalism/Herbalist (NEW)
,,51.3703,Polarity Therapy (NEW)
,,51.3704,Reiki (NEW)
,,51.3799,"Energy and Biologically Based Therapies, Other(NEW)"
51.99,"Health Professions and Related Sciences, Other",51.99,"Health Professions and Related Clinical Sciences, Other"
51.9999,"Health Professions and Related Sciences, Other",51.9999,"Health Professions and Related Clinical Sciences, Other"
52,BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES,52.,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
52.01,Business,52.01,"Business/Commerce, General"
52.0101,"Business, General",52.0101,"Business/Commerce, General"
52.02,Business Administration and Management,52.02,"Business Administration, Management and Operations"
52.0201,"Business Administration and Management, General",52.0201,"Business Administration and Management, General"
52.0202,"Purchasing, Procurement and Contracts Management",52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management"
52.0203,Logistics and Materials Management,52.0203,Logistics and Materials Management
52.0204,Office Supervision and Management,52.0204,Office Management and Supervision
52.0205,Operations Management and Supervision,52.0205,Operations Management and Supervision
52.0206,Non-Profit and Public Management,52.0206,Non-Profit/Public/Organizational Management
,,52.0207,Customer Service Management (NEW)
,,52.0208,E-Commerce/Electronic Commerce (NEW)
,,52.0209,Transportation/Transportation Management(NEW)
52.0299,"Business Administration and Management, Other",52.0299,"Business/Managerial Operations, Other"
52.03,Accounting,52.03,Accounting and Related Services
52.0301,Accounting,52.0301,Accounting
52.0302,Accounting Technician,52.0302,Accounting Technology/Technician and Bookkeeping
,,52.0303,Auditing (NEW)
,,52.0304,Accounting and Finance (NEW)
,,52.0305,Accounting and Business/Management (NEW)
52.0399,"Accounting, Other",52.0399,"Accounting and Related Services, Other"
52.04,Administrative and Secretarial Services,52.04,Business Operations Support and Assistant Services
52.0401,"Administrative Assistant/Secretarial Science, General",52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Secretary,52.0402,Executive Assistant/Executive Secretary
52.0403,Legal Administrative Assistant/Secretary,22.0301,Legal Administrative Assistant/Secretary
52.0404,Medical Administrative Assistant/Secretary,51.0716,Medical Administrative/Executive Assistant and Medical Secretary
52.0405,Court Reporter,22.0303,Court Reporting/Court Reporter
52.0406,Receptionist,52.0406,Receptionist
52.0407,Information Processing/Data Entry Technician,52.0407,Business/Office Automation/Technology/Data Entry
52.0408,General Office/Clerical and Typing Services,52.0408,General Office Occupations and Clerical Services
,,52.0409,"Parts, Warehousing, and Inventory Management Operations (NEW)"
,,52.0410,"Traffic, Customs, and Transportation Clerk/Technician (NEW)"
,,52.0411,Customer Service Support/Call Center/Teleservice Operation (NEW)
52.0499,"Administrative and Secretarial Services, Other",52.0499,"Business Operations Support and Secretarial Services, Other"
52.05,Business Communications,52.05,Business/Corporate Communications
52.0501,Business Communications,52.0501,Business/Corporate Communications
52.06,Business/Managerial Economics,52.06,Business/Managerial Economics
52.0601,Business/Managerial Economics,52.0601,Business/Managerial Economics
52.07,Enterprise Management and Operation,52.07,Entrepreneurial and Small Business Operations
52.0701,"Enterprise Management and Operation, General",52.0701,Entrepreneurship/Entrepreneurial Studies
52.0702,Franchise Operation,52.0702,Franchising and Franchise Operations
,,52.0703,Small Business Administration/Management(NEW)
52.0799,"Enterprise Management and Operation, Other",52.0799,"Entrepreneurial and Small Business Operations, Other"
52.08,Financial Management and Services,52.08,Finance and Financial Management Services
52.0801,"Finance, General",52.0801,"Finance, General"
52.0802,Actuarial Science,52.1304,Actuarial Science
52.0803,Banking and Financial Support Services,52.0803,Banking and Financial Support Services
52.0804,Financial Planning,52.0804,Financial Planning and Services
52.0805,Insurance and Risk Management,52.1701,Insurance
52.0806,International Finance,52.0806,International Finance
52.0807,Investments and Securities,52.0807,Investments and Securities
52.0808,Public Finance,52.0808,Public Finance
,,52.0809,Credit Management (NEW)
52.0899,"Financial Management and Services, Other",52.0899,"Finance and Financial Management Services, Other"
52.09,Hospitality Services Management,52.09,Hospitality Administration/Management
52.0901,Hospitality/Administration Management,52.0901,"Hospitality Administration/Management, General"
52.0902,Hotel/Motel and Restaurant Management,52.0904,Hotel/Motel Administration/Management. (NEW)
,,52.0905,Restaurant/Food Services Management (NEW)
52.0903,Travel-Tourism Management,52.0903,Tourism and Travel Services Management
,,52.0906,Resort Management (NEW)
52.0999,"Hospitality Services Management, Other",52.0999,"Hospitality Administration/Management, Other"
52.10,Human Resources Management,52.10,Human Resources Management and Services
52.1001,Human Resources Management,52.1001,"Human Resources Management/Personnel Administration, General"
52.1002,Labor/Personnel Relations and Studies,52.1002,Labor and Industrial Relations
52.1003,Organizational Behavior Studies,52.1003,Organizational Behavior Studies
,,52.1004,Labor Studies (NEW)
,,52.1005,Human Resources Development (NEW)
52.1099,"Human Resources Management, Other",52.1099,"Human Resources Management and Services, Other"
52.11,International Business,52.11,International Business
52.1101,International Business,52.1101,International Business/Trade/Commerce
52.12,Business Information and Data Processing Services,52.12,Management Information Systems and Services
52.1201,"Management Information Systems and Business Data Processing, General",52.1201,"Management Information Systems, General"
52.1202,Business Computer Programming/Programmer,11.0202,Computer Programming Special Applications(NEW)
52.1203,Business Systems Analysis and Design,11.0501,Computer Systems Analyst/Analysis
52.1204,Business Systems Networking and Telecommunications,11.0901,Computer Systems Networking and Telecommunications (NEW)
52.1205,Business Computer Facilities Operator,11.1099,"Computer/Information Technology Services Administration and Management,Other (NEW)"
,,52.1206,Information Resources Management/CIO Training (NEW)
,,52.1207,Knowledge Management (NEW)
52.1299,"Business Information and Data Processing Services, Other",52.1299,"Management Information Systems and Services, Other"
52.13,Business Quantitative Methods and Management Science,52.13,Management Sciences and Quantitative Methods
52.1301,Management Science,52.1301,"Management Science, General"
52.1302,Business Statistics,52.1302,Business Statistics
52.1399,"Business Quantitative Methods and Management Science, Other",52.1399,"Management Sciences and Quantitative Methods, Other"
52.14,Marketing Management and Research,52.14,Marketing
52.1401,Business Marketing and Marketing Management,52.1401,"Marketing/Marketing Management, General"
52.1402,Marketing Research,52.1402,Marketing Research
52.1403,International Business Marketing,52.1403,International Marketing
52.1499,"Marketing Management and Research, Other",52.1499,"Marketing, Other"
52.15,Real Estate,52.15,Real Estate
52.1501,Real Estate,52.1501,Real Estate
52.16,Taxation,52.16,Taxation
52.1601,Taxation,52.1601,Taxation
,,52.17,Insurance (NEW)
,,52.18,"General Sales, Merchandising and Related Marketing Operations (NEW)"
,,52.19,"Specialized Sales, Merchandising, and Related Marketing Operations (NEW)"
,,52.20,Construction Management (NEW)
,,52.2001,Construction Management (NEW)
52.99,"Business Management and Administrative Services, Other",52.99,"Business, Management, Marketing, and Related Support Services"
52.9999,"Business Management and Administrative Services, Other",52.9999,"Business, Management, Marketing, and Related Support Services, Other"
20.01,Consumer and Homemaking Education,,Deleted
20.0101,Comprehensive Consumer Sciences and Homemaking Education,,Deleted
20.0102,"Child Development, Care and Guidance",,Deleted
20.0103,Clothing and Textiles,,Deleted
20.0104,Consumer Education,,Deleted
20.0105,Homemaking,,Deleted
20.0106,Family/Individual Health,,Deleted
20.0107,Family Living and Parenthood,,Deleted
20.0108,Foods and Nutrition,,Deleted
20.0109,Home Management,,Deleted
20.0110,"Housing, Home Furnishings, and Equipment",,Deleted
20.0199,"Consumer and Homemaking Education, Other",,Deleted
CHAPTER,III. TECHNOLOGY EDUCATION/INDUSTRIAL ARTS,CHAPTER,III. TECHNOLOGY EDUCATION/INDUSTRIAL ARTS PROGRAMS
21,TECHNOLOGY EDUCATION/INDUSTRIAL ARTS,21.,TECHNOLOGY EDUCATION/INDUSTRIAL ARTS
21.01,Technology Education/Industrial Arts,21.01,Technology Education/Industrial Arts
21.0101,Technology Education/Industrial Arts,21.0101,Technology Education/Industrial Arts
28,RESERVE OFFICERS' TRAINING CORPS (R.O.T.C.),28.,"RESERVE OFFICER TRAINING CORPS (JROTC, ROTC)"
28.01,Air Force R.O.T.C.,28.01,Air Force JROTC/ROTC
28.0101,Air Force R.O.T.C./Air Science,28.0101,Air Force JROTC/ROTC
28.03,Army R.O.T.C.,28.03,Army JROTC/ROTC
28.0301,Army R.O.T.C./Military Science,28.0301,Army JROTC/ROTC
28.04,Navy/Marine Corps R.O.T.C.,28.04,Navy/Marine Corps JROTC/ROTC
28.0401,Navy/Marine Corps R.O.T.C./Naval Science,28.0401,Navy/Marine Corps JROTC/ROTC
32,BASIC SKILLS,32.,BASIC SKILLS
32.01,Basic Skills,32.01,Basic Skills
32.0101,"Basic Skills, General",32.0101,"Basic Skills, General"
32.0104,Computational Skills,32.0104,Numeracy and Computational Skills
32.0105,Job Seeking/Changing Skills,32.0105,Job-Seeking/Changing Skills
32.0107,Career Exploration/Awareness Skills,32.0107,Career Exploration/Awareness Skills
32.0108,"Reading, Literacy, and Communication Skills",32.0108,Literacy and Communication Skills
,,32.0109,Second Language Learning (NEW)
32.0199,"Basic Skills, Other",32.0199,"Basic Skills, Other"
33,CITIZENSHIP ACTIVITIES,33.,CITIZENSHIP ACTIVITIES
33.01,Citizenship Activities,33.01,Citizenship Activities
33.0101,"Citizenship Activities, General",33.0101,"Citizenship Activities, General"
33.0102,U.S. Citizenship Education,33.0102,American Citizenship Education
33.0103,Community Awareness,33.0103,Community Awareness
33.0104,Community Involvement,33.0104,Community Involvement
,,33.0105,Canadian Citizenship Education (NEW)
33.0199,"Citizenship Activities, Other",33.0199,"Citizenship Activities, Other"
34,HEALTH-RELATED KNOWLEDGE AND SKILLS,34.,HEALTH-RELATED KNOWLEDGE AND SKILLS
34.01,Health-Related Knowledge and Skills,34.01,Health-Related Knowledge and Skills
34.0102,Birthing and Parenting Knowledge and Skills,34.0102,Birthing and Parenting Knowledge and Skills
34.0103,Personal Health Improvement and Maintenance,34.0103,Personal Health Improvement and Maintenance
34.0104,Addiction Prevention and Treatment,34.0104,Addiction Prevention and Treatment
34.0199,"Health-Related Knowledge and Skills, Other",34.0199,"Health-Related Knowledge and Skills, Other"
35,INTERPERSONAL AND SOCIAL SKILLS,35.,INTERPERSONAL AND SOCIAL SKILLS
35.01,Interpersonal and Social Skills,35.01,Interpersonal Social Skills
35.0101,"Interpersonal and Social Skills, General",35.0101,"Interpersonal and Social Skills, General"
35.0102,Interpersonal Relationships Skills,35.0102,Interpersonal Relationships Skills
35.0103,Business and Social Skills,35.0103,Business and Social Skills
35.0199,"Interpersonal and Social Skills, Other",35.0199,"Interpersonal Social Skills, Oth­er"
36,LEISURE AND RECREATIONAL ACTIVITIES,36.,LEISURE AND RECREATIONAL ACTIVITIES
36.01,Leisure and Recreational Activities,36.01,Leisure and Recreational Activi­ties
36.0101,"Leisure and Recreational Activities, General",36.0101,"Leisure and Recreational Activi­ties, General"
36.0102,Handicrafts and Model-Making,36.0102,Handicrafts and Model-Making
36.0103,"Board, Card and Role-Playing Games",36.0103,"Board, Card and Role-Playing Games"
36.0105,Home Maintenance and Improvement,36.0105,Home Maintenance and Improvement
36.0106,Nature Appreciation,36.0106,Nature Appreciation
36.0107,Pet Ownership and Care,36.0107,Pet Ownership and Care
36.0108,Sports and Exercise,36.0108,Sports and Exercise
36.0109,Travel and Exploration,36.0109,Travel and Exploration
36.0110,Art,36.0110,Art
36.0111,Collecting,36.0111,Collecting
36.0112,Cooking and Other Domestic Skills,36.0112,Cooking and Other Domestic Skills
36.0113,Computer Games and Programming Skills,36.0113,Computer Games and Programming Skills
36.0114,Dancing,36.0114,Dancing
36.0115,Music,36.0115,Music
36.0116,Reading,36.0116,Reading
36.0117,Theater,36.0117,Theatre/Theater
36.0118,Writing,36.0118,Writing
36.0199,"Leisure and Recreational Activities, Other",36.0199,"Leisure and Recreational Activities, Other"
37,PERSONAL AWARENESS AND SELF-IMPROVEMENT,37.,PERSONAL AWARENESS AND SELF-IMPROVEMENT
37.01,Personal Awareness and Self-Improvement,37.01,Personal Awareness and Self-Improvement
37.0101,Self-Awareness and Personal Assessment,37.0101,Self-Awareness and Personal Assessment
37.0102,Stress Management and Coping Skills,37.0102,Stress Management and Coping Skills
37.0103,Personal Decision-Making Skills,37.0103,Personal Decision-Making Skills
37.0104,Self-Esteem and Values Clarification,37.0104,Self-Esteem and Values Clarification
37.0199,"Personal Awareness and Self-Improvement, Other",37.0199,"Personal Awareness and Self-Improvement, Other"
51.28,Dental Residency Programs,60.01,Dental Residency Programs
51.2801,Dental/Oral Surgery Specialty,60.0101,Dental/Oral Surgery Specialty
51.2802,Dental Public Health Specialty,60.0102,Dental Public Health Specialty
51.2803,Endodontics Specialty,60.0103,Endodontics Speciality
51.2804,Oral Pathology Specialty,60.0104,Oral Pathology Specialty
51.2805,Orthodontics Specialty,60.0105,Orthodontics Specialty
51.2806,Pedodontics Specialty,60.0106,Pedodontics Specialty
51.2807,Periodontics Specialty,60.0107,Periodontics Specialty
51.2808,Prosthodontics Specialty,60.0108,Prosthodontics Specialty
51.2899,"Dental Residency Programs, Other",60.0199,"Dental Residency Program, Other"
51.29,Medical Residency Programs,60.02,Medical Residency Programs
51.2901,Aerospace Medicine Residency,60.0201,Aerospace Medicine
51.2902,Allergies and Immunology Residency,60.0202,Allergies and Immunology
51.2903,Anesthesiology Residency,60.0203,Anesthesiology
51.2904,Blood Banking Residency,60.0204,Blood Banking
51.2905,Cardiology Residency,60.0205,Cardiology
51.2906,Chemical Pathology Residency,60.0206,Chemical Pathology
51.2907,Child/Pediatric Neurology Residency,60.0207,Child/Pediatric Neurology
51.2908,Child Psychiatry Residency,60.0208,Child Psychiatry
51.2909,Colon and Rectal Surgery Residency,60.0209,Colon and Rectal Surgery
51.2910,Critical Care Anesthesiology Residency,60.0210,Critical Care Anesthesiology
51.2911,Critical Care Medicine Residency,60.0211,Critical Care Medicine
51.2912,Critical Care Surgery Residency,60.0212,Critical Care Surgery
51.2913,Dermatology Residency,60.0213,Dermatology
51.2914,Dermatopathology Residency,60.0214,Dermatopathology
51.2915,Diagnostic Radiology Residency,60.0215,Diagnostic Radiology
51.2916,Emergency Medicine Residency,60.0216,Emergency Medicine
51.2917,Endocrinology and Metabolism Residen­cy,60.0217,Endocrinology and Metabolism
51.2918,Family Medicine Residency,60.0218,Family Medicine
51.2919,Forensic Pathology Residency,60.0219,Forensic Pathology
51.2920,Gastroenterology Residency,60.0220,Gastroenterology
51.2921,General Surgery Residency,60.0221,General Surgery
51.2922,Geriatric Medicine Residency (Family Practice),60.0222,Geriatric Medicine
51.2923,Hand Surgery Residency,60.0223,Hand Surgery
51.2924,Hematology Residency,60.0224,Hematology
51.2925,Hematological Pathology Residency,60.0225,Hematological Pathology
51.2926,Immunopathology Residency,60.0226,Immunopathology
51.2927,Infectious Disease Residency,60.0227,Infectious Disease
51.2928,Internal Medicine Residency,60.0228,Internal Medicine
51.2929,Laboratory Medicine Residency,60.0229,Laboratory Medicine
51.2930,Musculoskeletal Oncology Residency,60.0230,Musculoskeletal Oncology
51.2931,Neonatal-Perinatal Medicine Residen­cy,60.0231,Neonatal-Perinatal Medicine
51.2932,Nephrology Residency,60.0232,Nephrology
51.2933,Neurological Surgery/Neurosurgery Resi­dency,60.0233,Neurological Surgery/Neurosurgery
51.2934,Neurology Residency,60.0234,Neurology
51.2935,Neuropathology Residency,60.0235,Neuropathology
51.2936,Nuclear Medicine Residency,60.0236,Nuclear Medicine
51.2937,Nuclear Radiology Residency,60.0237,Nuclear Radiology
51.2938,Obstetrics and Gynecology Residency,60.0238,Obstetrics and Gynecology
51.2939,Occupational Medicine Residency,60.0239,Occupational Medicine
51.2940,Oncology Residency,60.0240,Oncology
51.2941,Ophthalmology Residency,60.0241,Ophthalmology
51.2942,Orthopedics/Orthopedic Surgery Residen­cy,60.0242,Orthopedics/Orthopedic Surgery
51.2943,Otolaryngology Residency,60.0243,Otolaryngology
51.2944,Pathology Residency,60.0244,Pathology
51.2945,Pediatric Cardiology Residency,60.0245,Pediatric Cardiology
51.2946,Pediatric Endocrinology Residency,60.0246,Pediatric Endocrinology
51.2947,Pediatric Hemato-Oncology Residency,60.0247,Pediatric Hemato-Oncology
51.2948,Pediatric Nephrology Residency,60.0248,Pediatric Nephrology
51.2949,Pediatric Orthopedics Residency,60.0249,Pediatric Orthopedics
51.2950,Pediatric Surgery Residency,60.0250,Pediatric Surgery
51.2951,Pediatrics Residency,60.0251,Pediatrics
51.2952,Physical and Rehabilitation Medicine Residency,60.0252,Physical and Rehabilitation Medicine
51.2953,Plastic Surgery Residency,60.0253,Plastic Surgery
51.2954,Preventive Medicine Residency,60.0254,Preventive Medicine
51.2955,Psychiatry Residency,60.0255,Psychiatry
51.2956,Public Health Medicine Residency,60.0256,Public Health Medicine
51.2957,Pulmonary Disease Residency,60.0257,Pulmonary Disease
51.2958,Radiation Oncology Residency,60.0258,Radiation Oncology
51.2959,Radioisotopic Pathology Residency,60.0259,Radioisotopic Pathology
51.2960,Rheumatology Residency,60.0260,Rheumatology
51.2961,Sports Medicine Residency,60.0261,Sports Medicine
51.2962,Thoracic Surgery Residency,60.0262,Thoracic Surgery
51.2963,Urology Residency,60.0263,Urology
51.2964,Vascular Surgery Residency,60.0264,Vascular Surgery
,,60.0265,Adult Reconstructive Orthopedics (Orthopedic Surgery) (NEW))
,,60.0266,Child Neurology (NEW)
,,60.0267,Cytopathology (NEW)
,,60.0268,Geriatric Medicine (Internal Medicine) (NEW)
,,60.0269,Pediatric Urology (NEW)
,,60.0270,Physical Medical and Rehabilitation/Psychiatry(NEW)
,,60.0271,Orthopedic Surgery of the Spine (NEW)
51.2999,"Medical Residency Programs, Other",60.0299,"Medical Residency Programs, Other (NEW)"
51.30,Veterinary Residency Programs,60.03,Veterinary Residency Programs
51.3001,Veterinary Anesthesiology,60.0301,Veterinary Anesthesiology
51.3002,Veterinary Dentistry,60.0302,Veterinary Dentistry
51.3003,Veterinary Dermatology,60.0303,Veterinary Dermatology
51.3004,Veterinary Emergency and Critical Care Medicine,60.0304,Veterinary Emergency and Critical Care Medicine
51.3005,Veterinary Internal Medicine,60.0305,Veterinary Internal Medicine
51.3006,Laboratory Animal Medicine,60.0306,Laboratory Animal Medicine
51.3007,Veterinary Microbiology,60.0307,Veterinary Microbiology
51.3008,Veterinary Nutrition,60.0308,Veterinary Nutrition
51.3009,Veterinary Ophthalmology,60.0309,Veterinary Ophthalmology
51.3010,Veterinary Pathology,60.0310,Veterinary Pathology
51.3011,Veterinary Practice,60.0311,Veterinary Practice
51.3012,Veterinary Preventive Medicine,60.0312,Veterinary Preventive Medicine
51.3013,Veterinary Radiology,60.0313,Veterinary Radiology
51.3014,Veterinary Surgery,60.0314,Veterinary Surgery
51.3015,Theriogenology,60.0315,Theriogenology
51.3016,Veterinary Toxicology,60.0316,Veterinary Toxicology
51.3017,Zoological Medicine,60.0317,Zoological Medicine
51.3099,"Veterinary Residency Programs, Other",60.0399,"Veterinary Residency Programs, Other"
53.01,High School/Secondary Diplomas,53.01,High School/Secondary Diploma Programs
53.0101,Regular High School Diploma,53.0101,Regular/General High School/ Secondary Diploma Program
53.0102,College Preparatory High School Diploma,53.0102,College/University Preparatory and Advanced High School/Secondary Diploma Program
53.0103,Vocational High School Diploma,53.0103,Vocational High School and Secondary Business/Vocational- Industrial/Occupational Diploma Program
53.0104,Honors/Regents High School Diploma Program,53.0104,Honors/Regents High School/Secondary Diploma Program
,,53.0105,Adult High School/Secondary Diploma Program(NEW)
53.0199,"High School/Secondary School Diplomas, Other",53.0199,"High School/Secondary Diploma Programs, Other"
53.02,High School/Secondary School Certificates,53.02,High School/Secondary School Certificates
53.0201,High School Equivalence Certificate Program Certificate,53.0201,High School Equivalence Certificate Program
53.0202,High School Certificate of Competence Program,53.0202,High School Certificate of Competence Program
53.0203,Certificate of IEP Completion,53.0203,Certificate of IEP Completion Program
53.0299,"High School/Secondary Diploma Programs, Other",53.0299,"High School/Secondary Certificate Programs, Other(Located in Appendix A)"
,,55.,LANGUE et LITTÉRATURES FRANÇAISES/LETTRES (NEW)
,,55.01,"Langue et littérature française, général"
,,55.0101,"Langue et littérature française, général"
,,55.02,Littérature comparative
,,55.0201,Littérature comparative
,,55.03,Composition française
,,55.0301,Composition française
,,55.04,Écriture créative en française
,,55.0401,Écriture créative en française
,,55.05,Littérature Canadienne française
,,55.0501,Littérature Canadienne française
,,55.06,Littérature françaises (France et la Communauté français)
,,55.0601,Littérature françaises (France et la Communauté française)
,,55.07,Discours et rhétorique
,,55.0701,Discours et rhétorique
,,55.08,Rédaction technique et commercielle en français
,,55.0801,Rédaction technique et commercielle en français
,,55.99,"Langue et Littérature Française, Autres"
,,55.9999,"Langue et Littérature Française, Autres"
,,55.01,"Langue et littérature française, général (NEW)"
,,55.02,Littérature comparative
,,55.0201,Littérature comparative
,,55.03,Composition française
,,55.0301,Composition française
,,55.04,Écriture créative en française
,,55.0401,Écriture créative en française
,,55.05,Littérature Canadienne française
,,55.0501,Littérature Canadienne française
,,55.06,Littérature françaises (France et la Communauté français)
,,55.0601,Littérature françaises (France et la Communauté française)
,,55.07,Discours et rhétorique
,,55.0701,Discours et rhétorique
,,55.08,Rédaction technique et commercielle en français
,,55.0801,Rédaction technique et commercielle en français
,,55.99,"Langue et Littérature Française, Autres"
,,55.9999,"Langue et Littérature Française, Autres"
,,55.,LANGUE et LITTÉRATURES FRANÇAISES/LETTRES
,,55.01,"Langue et littérature française, général"
,,55.0101,"Langue et littérature française, général"
,,55.02,Littérature comparative
,,55.0201,Littérature comparative
,,55.03,Composition française
,,55.0301,Composition française
,,55.04,Écriture créative en française
,,55.0401,Écriture créative en française
,,55.0101,"Langue et littérature française, général (NEW)"
,,55.02,Littérature comparative (NEW)
,,55.0201,Littérature comparative (NEW)
,,55.03,Composition française (NEW)
,,55.0301,Composition française (NEW)
,,55.04,Écriture créative en française (NEW)
